Rustic Baguette,1.00,bread
Epi Baguette,1.25,bread
Walnut Baguette,1.95,bread
Demi Baguette,0.37,bread
Cheese Ciabatta,2.55,bread
Corn Jalapeno Ciabatte,2.55,bread
Chocolate Ciabatte,1.65,bread
Seasonal Ciabatte,2.75,bread
Large Rustic Ciabatta,0.00,bread,false
Mini Pine Loaf,1.17,bread
Chocolate Bun,0.00,bread,false
Challah,0.00,bread,false
Sliced Pain de Mie,2.25,bread
Mini Ficelle,0.00,bread,false
Cranberry Brioche Pull Apart Rolls,0.00,bread,false
Almond Croissant,2.10,viennosserie
Butter Croissant,0.68,viennosserie 
Cheese Danoise,1.15,viennosserie
Chocolate Croissant,1.01,viennosserie
Chocolate Hazelnut Croissant,1.82,viennosserie
Cinnamon Orange Swirl,2.65,viennosserie
The Swirl,0.00,viennosserie,false
Pain au Raisin,0.00,viennosserie,false
Apple Chausson,0.00,viennosserie,false
Apple Chausson,1.66,viennosserie
Seasonal Kouign Amann,2.14,viennosserie
Croissant French Toast,2.51,viennosserie
Blueberry Pound Cake,1.75,pastry
Banana Nut Pound Cake,1.75,pastry
Seasonal Pound Cake,13.86,pastry 
Seasonal Upside Down Cake,13.86,pastry
Galette Seasonal Fruit,0.00,pastry,false
Galette Berry,0.00,pastry,false
Gibassier,0.00,pastry,false
Large Gibassier,0.00,pastry,false
Beignet,0.00,pastry,false
Seasonal Beignet,0.00,pastry,false
Bread Pudding,0.00,pastry,false
Pomme Fine,0.00,pastry,false
Flan,0.00,pastry,false
Turkey & Brie Croissant,2.10,savory 
Ham & Cheese Croissant,0.00,savory,false
Ham & Cheese Croissant,1.75,savory 
Goat Cheese Tomato & Herb Quiche,3.39,savory
Quiche Lorraine,3.03,savory
Granola Nut Cookie,0.97,sweet treats
Choc Chip Cookie,0.73,sweet treats
Double Chocolate Caramel Cookie,0.00,sweet treats,false
Citrus Madeleine,0.95,sweet treats
Marbel Madeleine,0.95,sweet treats
Chocolate Fondant,0.86,sweet treats
Raspberry Financier,0.91,sweet treats
Cannele,0.00,sweet treats,false
Lemon Thyme Shortbread,2.51,retail
Chocolate Chip Shortbread,2.51,retail
Double Chocolate Shortbread,2.51,retail
Parmesan Cayenne Shortbread,2.51,retail
Banana Nut Poundcake,2.51,retail
Lemon Poundcake,2.51,retail
BLT,1.38,G & G - Mini Sandwiches
Chicken Arugula,1.36,G & G - Mini Sandwiches
Chicken Banh Mi,0.00,G & G - Mini Sandwiches,false
Goat Cheese & Cucumber & Avocado,0.00,G & G - Mini Sandwiches,false
Roast Beef Horseradish,1.73,G & G - Mini Sandwiches
Smoked Salmon & Crème Fraiche Mini,2.15,G & G - Mini Sandwiches
Smoked Trout & Avocado Mini,0.00,G & G - Mini Sandwiches,false
Turkey & Cheddar & Pesto,1.61,G & G - Mini Sandwiches
Ham & Apple & Brie,1.61,G & G - Mini Sandwiches
Ham & Swiss & Butter,3.81,G & G - Bag Sandwiches
Turkey & Jack Baguette,2.66,G & G - Bag Sandwiches
Arugula Pesto & Chicken,2.94,G & G - Bag Sandwiches
Chicken Sausage Egg & Cheese,1.56,G & G - Breakfast
Egg White & English Muffin,0.00,G & G - Breakfast,false
Brioche w/ Aged Cheddar and Bacon,1.56,G & G - Breakfast
Proscuitto Cotto Croque Monsieur,0.00,G & G - Breakfast,false
Egg & Cheese on Croissant,1.30,G & G - Breakfast
Arugula Grain Power Bowl,2.97,G & G - Salads
Kale Caesar,0.00,G & G - Salads,false
Kale Caesar w/ Chicken,4.25,G & G - Salads
La Boulangerie Cobb,5.09,G & G - Salads
Vietnamese Chicken Salad,3.74,G & G - Salads
Smoked Trout,0.00,G & G - Salads,false
Fresh Fruit,2.97,G & G - Misc
Berry & Granola Yogurt Parfait,2.16,G & G - Misc
Chia Parfait,0.00,G & G - Misc,false
Quinoa Side Salad,0.00,G & G - Misc,false
Beet and Goat Cheese Mini Salad,0.00,G & G - Misc,false
Carrot Mini Salad,0.00,G & G - Misc,false
Almond & Chickpea Mini Salad,0.00,G & G - Misc,false
Chips - Herbs de Provence,0.74,G & G - Misc
Pot de Creme,14.08,G & G - Misc
Granola Bag,0.00,G & G - Misc,false
French Onion Soup,0.00,G & G - Misc,false
Soup du Jour,0.00,G & G - Misc,false
